arm	ah
back	bah
bag	bah
ball	baw
beach	bee
bear	bay
bed	beh
bib	be
book	boo
bow	bo
bowl	bo
bread	breh
cab	khah
cake	cay
car	caw
cat	khah
chain	chay
chair	chay
cheese	chee
couch	cow
cow	kuh
dog	daw
doll	daw
door	doh
dress	dreh
ear	e
eye	uh
fish	fee
fly	fluh
gun	guh
hair	hay
hand	haeh
hat	haeh
heart	ha
hinge	he
horse	ho
house	how
ice	i
key	kee
kilt	ki
knife	nye
leg	leh
lips	li
lock	law
milk	mi
neck	neh
nose	no
orange	or
pen	peh
pig	pee
plate	play
purse	pur
queen	kwee
rain	ray
road	row
roof	roo
rose	row
saw	sah
shadow	sha
ship	shi
shoe	shu
sun	sah
swing	swee
team	tee
tongue	tuh
top	taw
train	tray
tree	ter
watch	wah
wheel	wee
wing	wee
yolk	yo
airplane	air
anchor	ahh
apple	ahh
arrow	air
balloon	baw
basket	baah
briefcase	bri
candle	can
chicken	chi
coffin	caw
cooler	Coo
daisy	day
diaper	dier
donkey	daw
dragon	drah
dresser	dreh
drum	druh
eagle	e
elbow	el
finger	fee
fireplace	fy
flashlight	flah
football	foo
freezer	free
frog	fraw
gutter	guh
hammer	hae
honey	huh
jewel	joo
kitchen	ki
kitten	ki
ladder	lae
lemon	leh
lion	lie
lipstick	li
matches	mah
medal	meh
money	maw
mother	maw
mountain	mao
mummy	muh
mustache	muh
necklace	neh
needle	knee
piano	pee
pickle	pee
popcorn	paw
pumpkin	puh
puppy	puh
rainbow	ray
saddle	ssaa
salad	ssaa
sandwich	ssaa
scissors	see
shadow	sha
shovel	sho
shower	shiao
spider	spy
table	tay
tattoo	taah
tiger	tie
toilet	toy
toothbrush	too
tunnel	tuh
turkey	ter
turtle	ter
vampire	vam
wallet	wah
wheelchair	wee
window	wih
accident	ahh
astronaut	as
bakery	bay
banana	baah
baseball glove	bay
bicycle	bi
bikini	bihh
binoculars	bi
bird bath	bir
birthday cake	bir
boomerang	boo
broccoli	bra
bunk bed	buh
butterfly	buh
calculator	khah
calendar	khah
camera	khah
can opener	khah
candy cane	khah
candy land	khah
carousel	cay
caterpillar	khah
cigarette	sea
colander	caw
cutting board	kuh
dining room	dye
dinosaur	dye
dishwasher	di
dollar bill	daw
easter basket	e
easter egg	e
elephant	el
eraser	e
eyeglasses	i
Football helmet	foo
grasshopper	grah
hair dryer	hey
handlebar	haeh
helicopter	heh
hole puncher	ho
hot dog	haw
ice skate	i
ironing board	i
mannquin	mah
microphone	my
microwave	my
moccasin	maw
mosquito	muh
motorcycle	mow
newspaper	new
odometer	o
pepperoni	peh
piano	pee
porcupine	poh
scorpion	scoh
skyscraper	sky
snowmobile	snow
spaghetti	spa
submarine	saw
suspenders	sah
telephone	teh 
telescope	teh 
television	teh 
tiara	tee
tomato	tuh
tornado	tow
tricycle	tri
typewriter	tie
umbrella	um
waterfall	wah
woodpecker	woo
axe	ahh
badge	baah
braid	bray
cane	cay
cart	caw
chalk	chaw
chess	cheh
chimes	chy
chin	chi
clown	clow
comb	co
corn	co
crown	cro
crown	crah
cuff	kuh
deer	dee
dime	dye
drapes	dray
eel	e
flag	flah
flute	floo
goat	go
grapes	gray
hive	hi
kite	kye
knee	nuh
knot	naw
lamp	lae
leaf	lee
leash	lee
mop	maw
mug	muh
nest	neh
net	neh
owl	ow
pear	pay
pope	poh
rake	ray
sheep	she
shell	sheh
shin	she
skirt	skuh
skull	skuh
skunk	skuh
sled	sleh
sling	sli
snake	snay
sock	saw
stove	stow
straw	stir
tag	taah
thorn	tho
thread	threw
thumb	thaw
toe	toe
toys	toe
twins	twi
vase	vay
veil	veh
web	weh
weed	wee
whale	way
wig	wih
witch	wih
wrist	ree
bagel	bay
bagpipe	baah
beaker	bee
billiards	bihh
blackboard	blah
blender	bleh
burner	bur
campsite	khah
carrot	kay
checkers	cheh
chimney	chie
corkscrew	co
crayones	cray
diver	dye
donut	doh
doorknob	doh
flagpole	flah
flippers	fli
fossil	faw
giraffe	g
goggles	gaw
greenhouse	gree
halo	hey
handcuff	heh
headboard	heh
headphones	heh
horseshoe	ho
hurdle	her
hyrdant	hi
kettle	ke
keyboard	key
keyhole	key
kiwi	key
ladle	lay
lighthouse	lie
magnet	mah
mermain	muh
mitten	mih
mushroom	muh
napkin	nah
paintbrush	pay
parrot	peh
peacock	pea
penguin	peh
poodle	poo
raccoon	raah
raindrop	ray
rooster	roo
ruler	roo
sailboat	say
sandboz	ssaa
scarecrow	scai
scoreboard	scoe
shoelace	shoo
snorkel	snow
snowman	snow
sundae	sah
sundial	sah
syringe	sih
thimble	thih
toaster	tow
tombstone	too
trumpet	trah
wheelbarrow	we
windmill	wih
zebra	z
baseball bat	bay
jack o' lantern	jaah
jewelry box	jew
lawn mower	law
light switch	lie
magnifying glass	mah
nail clippers	nay
neckbrace	neh
paper airplane	pay
pocket knife	paw
record player	reh
remote control	ree
rocking hose	raw
roller skates	row
rolling pin	row
satellite dish	ssaa
sewing machine	so
space shuttle	spay
staple remover	stay
street lamp	stree
teeter totter	tee
tennis racket	tee
tic tac toe	teeh
