bagel,bay
bagpipe,baah
beaker,bee
blackboard,blah
blender,bleh
burner,bur
carrot,kay
checkers,cheh
chimney,chie
corkscrew,co
crayones,cray
diver,dye
donut,doh
doorknob,doh
flagpole,flah
flippers,fli
fossil,faw
giraffe,g
goggles,gaw
greenhouse,gree
halo,hey
handcuff,heh
headboard,heh
headphones,heh
horseshoe,ho
hurdle,her
hyrdant,hi
kettle,ke
keyboard,key
keyhole,key
kiwi,key
ladle,lay
lighthouse,lie
magnet,mah
mermain,muh
mitten,mih
mushroom,muh
napkin,nah
paintbrush,pay
parrot,peh
peacock,pea
penguin,peh
poodle,poo
raccoon,raah
raindrop,ray
rooster,roo
ruler,roo
sailboat,say
sandboz,ssaa
scarecrow,scai
scoreboard,scoe
shoelace,shoo
snorkel,snow
snowman,snow
sundae,sah
sundial,sah
thimble,thih
toaster,tow
tombstone,too
trumpet,trah
wheelbarrow,we
windmill,wih
zebra,z
