ant,an
arm,ah
back,bah
bag,bah
ball,baw
beach,bee
bear,bay
bed,beh
bib,be
book,boo
bow,bo
bowl,bo
bread,breh
cab,khah
cake,cay
car,caw
cat,khah
chain,chay
chair,chay
cheese,chee
couch,cow
cow,kuh
dog,daw
doll,daw
door,doh
dress,dreh
ear,e
eye,uh
fish,fee
fly,fluh
gun,guh
hair,hay
hand,haeh
hat,haeh
heart,ha
hinge,he
horse,ho
house,how
ice,i
key,kee
kilt,ki
knife,nye
leg,leh
lips,li
lock,law
milk,mi
neck,neh
nose,no
orange,or
pen,peh
pig,pee
plate,play
purse,pur
queen,kwee
rain,ray
road,row
roof,roo
rose,row
saw,sah
shadow,sha
ship,shi
shoe,shu
sun,sah
swing,swee
team,tee
tongue,tuh
top,taw
train,tray
tree,ter
watch,wah
wheel,wee
wing,wee
yolk,yo
