axe,ahh
badge,baah
braid,bray
cane,cay
cart,caw
chalk,chaw
chess,cheh
chimes,chy
chin,chi
clown,clow
comb,co
corn,co
crown,crah
cuff,kuh
deer,dee
dime,dye
drapes,dray
eel,e
flag,flah
flute,floo
goat,go
grapes,gray
hive,hi
kite,kye
knee,nuh
knot,naw
lamp,lae
leaf,lee
leash,lee
mop,maw
nest,neh
net,neh
owl,ow
pear,pay
pope,poh
rake,ray
sheep,she
shell,sheh
skirt,skuh
skull,skuh
skunk,skuh
sled,sleh
sling,sli
snake,snay
sock,saw
stove,stow
straw,stir
tag,taah
thorn,tho
thread,threw
thumb,thaw
toe,toe
toys,toe
twins,twi
vase,vay
veil,veh
web,weh
weed,wee
whale,way
wig,wih
witch,wih
wrist,ree
